,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,partie,part
1,1,1,1,1,histoire,history
2,2,2,2,2,chercher,search
3,3,3,3,3,seulement,only
4,4,4,4,4,police,police
5,5,6,6,6,demande,request
6,6,7,7,7,genre,kind
7,7,8,8,8,frère,brother
8,8,10,10,10,car,because
9,9,11,11,11,mettre,to put
10,10,12,12,12,aucun,no
11,11,13,13,13,laisse,leash
12,12,14,14,14,eux,them
13,13,15,15,15,ville,city
14,14,16,16,16,chaque,each
15,15,17,17,17,parlé,speak
16,16,18,18,18,arrivé,come
17,17,19,19,19,devrait,should
18,18,20,20,20,bébé,baby
19,19,21,21,21,heures,hours
20,21,23,23,23,pendant,while
21,22,24,24,24,revoir,meet again
22,23,25,25,25,aucune,any
23,24,26,26,26,place,square
24,25,27,27,27,parle,speak
25,26,28,29,29,savais,knew
26,27,29,30,30,étaient,were
27,28,30,31,31,attention,Warning
28,29,31,32,32,voici,here is
29,30,32,33,33,affaire,case
30,31,33,34,34,donner,give
31,32,34,35,35,type,type
32,33,35,36,36,leurs,their
33,34,36,37,37,donné,given
34,35,37,38,38,corps,body
35,36,38,39,39,endroit,place
36,37,39,40,40,yeux,eyes
37,38,40,41,41,façon,way
38,39,41,42,42,premier,first
39,40,42,43,43,perdu,lost
40,41,43,44,44,main,hand
41,42,44,45,45,première,first
42,43,45,46,46,côté,side
43,44,46,47,47,pouvoir,power
44,45,47,48,48,vieux,old
45,46,48,49,50,tiens,here
46,47,49,50,51,matin,morning
47,48,51,52,53,point,point
48,49,52,53,54,venu,came
49,50,53,54,55,venez,come
50,51,54,55,56,devant,in front of
51,52,55,56,57,vers,towards
52,53,56,57,58,minutes,minutes
53,54,57,58,59,chambre,bedroom
54,55,58,59,60,mis,placed
55,56,59,60,61,droit,law
56,57,60,61,62,aimerais,would like to
57,58,61,62,63,aujourd'hui,today
58,59,62,63,64,mari,husband
59,60,63,64,65,cause,cause
60,61,64,65,66,enfin,finally
61,62,65,66,67,espère,hope
62,63,66,67,68,attendez,Wait
63,64,67,68,69,parti,left
64,65,68,69,70,nouvelle,new
65,66,69,70,71,boulot,job
66,67,70,71,72,arrêter,Stop
67,68,71,72,73,dirait,would say
68,69,72,73,74,terre,Earth
69,70,73,74,75,compte,account
70,71,74,75,76,donne,given
71,72,75,76,77,loin,far
72,73,76,77,78,fin,end
73,74,77,78,79,croire,believe
74,75,78,79,80,chérie,sweetheart
75,76,79,80,81,gros,large
76,77,80,81,82,plutôt,rather
77,78,81,82,83,aura,will have
78,79,82,83,84,filles,girls
79,80,83,84,85,bureau,office
